timestamp,cpu_usage,memory_usage,disk_usage,network_sent,network_received
2024-10-27 00:32:08.285217,25.1,26.9,1.2,900,3238
2024-10-27 00:32:13.294944,26.5,26.9,1.2,900,3238
2024-10-27 00:32:18.295112,25.1,26.9,1.2,900,3238
2024-10-27 00:32:23.295096,26.6,26.9,1.2,966,3304
2024-10-27 00:32:28.304865,25.4,26.9,1.2,966,3304
2024-10-27 00:32:33.302326,31.1,26.9,1.2,966,3304
2024-10-27 00:32:38.295146,25.2,26.9,1.2,1032,3370
2024-10-27 00:32:43.295382,26.7,27.0,1.2,1074,3412
2024-10-27 00:32:48.295090,25.1,27.0,1.2,1074,3412
2024-10-27 00:32:53.295111,26.1,27.1,1.2,1140,3478
2024-10-27 00:32:58.300916,25.1,27.1,1.2,1182,3520
2024-10-27 00:33:03.292315,26.0,27.1,1.2,1182,3520
2024-10-27 00:33:08.294926,25.1,27.1,1.2,1248,3586
2024-10-27 00:33:13.295202,26.3,27.1,1.2,1290,3628
2024-10-27 00:33:18.295018,25.1,27.1,1.2,1290,3628
2024-10-27 00:33:23.295152,27.2,26.9,1.2,1356,3694
2024-10-27 00:33:28.295068,25.1,26.9,1.2,1398,3736
2024-10-27 00:33:33.293469,27.1,26.6,1.2,1398,3736
2024-10-27 00:33:38.295001,25.2,26.6,1.2,1464,3802
2024-10-27 00:33:43.301397,26.5,26.6,1.2,1506,3844
2024-10-27 00:33:48.295385,25.3,26.6,1.2,1506,3844
2024-10-27 00:33:53.295265,26.4,26.6,1.2,1572,3910
2024-10-27 00:33:58.294982,25.2,26.6,1.2,1614,3952
2024-10-27 00:34:03.293651,26.3,26.7,1.2,1614,3952
2024-10-27 00:34:08.295048,25.2,26.7,1.2,1614,3952
2024-10-27 00:34:13.295121,26.4,26.7,1.2,1680,4018
2024-10-27 00:34:18.294997,25.2,26.7,1.2,1722,4060
2024-10-27 00:34:23.295020,26.4,26.7,1.2,1722,4060
2024-10-27 00:34:28.295043,25.2,26.7,1.2,1788,4126
2024-10-27 00:34:33.293955,26.5,26.7,1.2,1788,4126
2024-10-27 00:34:38.295014,26.2,26.7,1.2,1788,4126
2024-10-27 00:34:43.295067,25.9,26.7,1.2,1854,4192
2024-10-27 00:34:48.295063,25.7,26.7,1.2,1896,4234
2024-10-27 00:34:53.295061,25.9,26.7,1.2,1896,4234
2024-10-27 00:34:58.295252,25.7,26.7,1.2,1962,4300
2024-10-27 00:35:03.293235,25.4,26.7,1.2,2004,4342
2024-10-27 00:35:08.295122,25.0,26.7,1.2,2004,4342
2024-10-27 00:35:13.295027,25.6,26.7,1.2,2070,4408
2024-10-27 00:35:18.294981,25.0,26.7,1.2,2070,4408
2024-10-27 00:35:23.295101,25.7,26.6,1.2,2070,4408
2024-10-27 00:35:28.294972,25.1,26.6,1.2,2136,4474
2024-10-27 00:35:33.293141,26.8,26.6,1.2,2178,4516
2024-10-27 00:35:38.294986,25.2,26.6,1.2,2178,4516
2024-10-27 00:35:43.295237,26.7,26.6,1.2,2244,4582
2024-10-27 00:35:48.296676,26.0,26.6,1.2,2286,4624
2024-10-27 00:35:53.295104,25.9,26.6,1.2,2286,4624
2024-10-27 00:35:58.295065,25.3,26.6,1.2,2352,4690
2024-10-27 00:36:03.293529,27.6,26.6,1.2,2352,4690
2024-10-27 00:36:08.295016,25.1,26.6,1.2,2352,4690
2024-10-27 00:36:13.295023,25.5,26.6,1.2,2418,4756
2024-10-27 00:36:18.295111,25.4,26.6,1.2,2460,4798
2024-10-27 00:36:23.295059,25.9,26.6,1.2,2460,4798
2024-10-27 00:36:28.295002,25.0,26.6,1.2,2526,4864
2024-10-27 00:36:33.293636,26.6,26.6,1.2,2568,4906
2024-10-27 00:36:38.295099,25.1,26.6,1.2,2568,4906
2024-10-27 00:36:43.295084,26.3,26.6,1.2,2634,4972
2024-10-27 00:36:48.295028,25.0,26.6,1.2,2634,4972
2024-10-27 00:36:53.294887,26.1,26.6,1.2,2634,4972
2024-10-27 00:36:58.295052,25.0,26.6,1.2,2700,5038
2024-10-27 00:37:03.293511,26.7,26.6,1.2,2742,5080
2024-10-27 00:37:08.295083,25.6,26.6,1.2,2742,5080
2024-10-27 00:37:13.295106,26.5,26.6,1.2,2808,5146
2024-10-27 00:37:18.294994,25.2,26.6,1.2,2850,5188
2024-10-27 00:37:23.295037,27.1,26.6,1.2,2850,5188
2024-10-27 00:37:28.295183,25.4,26.6,1.2,2916,5254
2024-10-27 00:37:33.293718,26.3,26.6,1.2,2916,5254
2024-10-27 00:37:38.295065,25.6,26.6,1.2,2916,5254
2024-10-27 00:37:43.295032,26.2,26.6,1.2,2916,5254
2024-10-27 00:37:48.295184,25.1,26.6,1.2,2982,5320
2024-10-27 00:37:53.295313,25.7,26.6,1.2,3024,5362
2024-10-27 00:37:58.295100,25.8,26.6,1.2,3024,5362
2024-10-27 00:38:03.293255,26.6,26.6,1.2,3090,5428
2024-10-27 00:38:08.295237,25.1,26.6,1.2,3132,5470
2024-10-27 00:38:13.295043,26.7,26.6,1.2,3132,5470
2024-10-27 00:38:18.295234,25.0,26.6,1.2,3198,5536
2024-10-27 00:38:23.295178,25.6,26.6,1.2,3198,5536
2024-10-27 00:38:28.294951,25.3,26.6,1.2,3198,5536
2024-10-27 00:38:33.293003,25.9,26.6,1.2,3264,5602
2024-10-27 00:38:38.295055,25.4,26.6,1.2,3306,5644
2024-10-27 00:38:43.295037,25.9,26.6,1.2,3306,5644
2024-10-27 00:38:48.295139,25.2,26.6,1.2,3372,5710
2024-10-27 00:38:53.295053,25.4,26.6,1.2,3414,5752
2024-10-27 00:38:58.295252,25.1,26.6,1.2,3414,5752
2024-10-27 00:39:03.293820,25.7,26.6,1.2,3480,5818
2024-10-27 00:39:08.295128,25.0,26.6,1.2,3480,5818
2024-10-27 00:39:13.295144,26.5,26.6,1.2,3480,5818
2024-10-27 00:39:18.295129,25.1,26.6,1.2,3546,5884
2024-10-27 00:39:23.295081,25.9,26.6,1.2,3588,5926
2024-10-27 00:39:28.295017,26.0,26.6,1.2,3588,5926
2024-10-27 00:39:33.293543,26.5,26.6,1.2,3654,5992
2024-10-27 00:39:38.295160,25.7,26.6,1.2,3696,6034
2024-10-27 00:39:43.295048,25.7,26.6,1.2,3696,6034
2024-10-27 00:39:48.295098,25.0,26.6,1.2,3762,6100
2024-10-27 00:39:53.294990,25.7,26.6,1.2,3762,6100
2024-10-27 00:39:58.294940,25.2,26.6,1.2,3762,6100
2024-10-27 00:40:03.293638,27.0,26.6,1.2,3828,6166
2024-10-27 00:40:08.295114,25.2,26.6,1.2,3870,6208
2024-10-27 00:40:13.295112,26.3,26.6,1.2,3870,6208
2024-10-27 00:40:18.290546,25.2,26.6,1.2,3936,6274
2024-10-27 00:40:23.295106,26.1,26.6,1.2,3978,6316
2024-10-27 00:40:28.295144,25.1,26.6,1.2,3978,6316
2024-10-27 00:40:33.293553,26.7,26.7,1.2,4044,6382
2024-10-27 00:40:38.295031,24.9,26.7,1.2,4044,6382
2024-10-27 00:40:43.295175,25.9,26.7,1.2,4044,6382
2024-10-27 00:40:48.295195,25.0,26.7,1.2,4110,6448
2024-10-27 00:40:53.295031,25.9,26.7,1.2,4152,6490
2024-10-27 00:40:58.294997,24.9,26.7,1.2,4152,6490
2024-10-27 00:41:03.293489,26.1,26.7,1.2,4218,6556
2024-10-27 00:41:08.295037,25.1,26.7,1.2,4218,6556
2024-10-27 00:41:13.295098,26.1,26.7,1.2,4260,6598
2024-10-27 00:41:18.295146,25.0,26.7,1.2,4260,6598
2024-10-27 00:41:23.295205,25.8,26.7,1.2,4326,6664
2024-10-27 00:41:28.295020,26.0,26.7,1.2,4326,6664
2024-10-27 00:41:33.293798,25.9,26.8,1.2,4326,6664
2024-10-27 00:41:38.295002,25.3,26.8,1.2,4392,6730
2024-10-27 00:41:43.300174,26.6,26.7,1.2,4434,6772
2024-10-27 00:41:48.295009,25.2,26.7,1.2,4434,6772
2024-10-27 00:41:53.294921,25.6,26.7,1.2,4500,6838
2024-10-27 00:41:58.294974,25.1,26.7,1.2,4542,6880
2024-10-27 00:42:03.293469,25.8,26.7,1.2,4542,6880
2024-10-27 00:42:08.295233,25.1,26.7,1.2,4608,6946
2024-10-27 00:42:13.294942,25.6,26.7,1.2,4608,6946
2024-10-27 00:42:18.295132,25.2,26.7,1.2,4608,6946
2024-10-27 00:42:23.295055,25.8,26.7,1.2,4674,7012
2024-10-27 00:42:28.295075,25.5,26.7,1.2,4716,7054
2024-10-27 00:42:33.293444,26.2,26.7,1.2,4716,7054
2024-10-27 00:42:38.295049,25.4,26.7,1.2,4782,7120
2024-10-27 00:42:43.294912,26.4,26.7,1.2,4824,7162
2024-10-27 00:42:48.295131,25.2,26.7,1.2,4824,7162
2024-10-27 00:42:53.295147,25.7,26.7,1.2,4890,7228
2024-10-27 00:42:58.295094,25.0,26.7,1.2,4890,7228
2024-10-27 00:43:03.292003,26.3,26.7,1.2,4890,7228
2024-10-27 00:43:08.295052,25.7,26.7,1.2,4956,7294
2024-10-27 00:43:13.295251,25.8,26.7,1.2,4998,7336
2024-10-27 00:43:18.295088,25.4,26.8,1.2,4998,7336
2024-10-27 00:43:23.294920,26.6,26.7,1.2,5064,7402
2024-10-27 00:43:28.295041,25.4,26.8,1.2,5106,7444
2024-10-27 00:43:33.295116,26.2,26.7,1.2,5106,7444
2024-10-27 00:43:38.294913,25.1,26.8,1.2,5172,7510
2024-10-27 00:43:43.294916,26.4,26.7,1.2,5172,7510
2024-10-27 00:43:48.295147,25.0,26.8,1.2,5172,7510
2024-10-27 00:43:53.295137,26.9,26.7,1.2,5238,7576
2024-10-27 00:43:58.295125,25.9,26.8,1.2,5280,7618
2024-10-27 00:44:03.292535,26.8,26.7,1.2,5280,7618
2024-10-27 00:44:08.294918,25.0,26.7,1.2,5346,7684
2024-10-27 00:44:13.295449,25.8,26.7,1.2,5388,7726
2024-10-27 00:44:18.294948,25.0,26.7,1.2,5388,7726
2024-10-27 00:44:23.295115,25.9,26.7,1.2,5454,7792
2024-10-27 00:44:28.295074,25.0,26.7,1.2,5454,7792
2024-10-27 00:44:33.294191,25.4,26.7,1.2,5454,7792
2024-10-27 00:44:38.294998,25.0,26.7,1.2,5520,7858
2024-10-27 00:44:43.294978,26.3,26.7,1.2,5520,7858
2024-10-27 00:44:48.294940,25.1,26.7,1.2,5562,7900
2024-10-27 00:44:53.294992,25.9,26.7,1.2,5562,7900
2024-10-27 00:44:58.295105,25.1,26.7,1.2,5628,7966
2024-10-27 00:45:03.292711,26.0,26.7,1.2,5670,8008
2024-10-27 00:45:08.295184,25.8,26.7,1.2,5670,8008
2024-10-27 00:45:13.295003,25.8,26.7,1.2,5736,8074
2024-10-27 00:45:18.288396,25.0,26.7,1.2,5736,8074
2024-10-27 00:45:23.295172,26.3,26.7,1.2,5736,8074
2024-10-27 00:45:28.295094,25.3,26.7,1.2,5802,8140
2024-10-27 00:45:33.293661,25.6,26.7,1.2,5886,8224
2024-10-27 00:45:38.295093,25.2,26.7,1.2,5886,8224
2024-10-27 00:45:43.295174,26.2,26.7,1.2,5952,8290
2024-10-27 00:45:48.295059,25.2,26.7,1.2,5952,8290
2024-10-27 00:45:53.295073,25.6,26.7,1.2,5952,8290
2024-10-27 00:45:58.295099,25.2,26.7,1.2,6018,8356
2024-10-27 00:46:03.284021,26.2,26.7,1.2,6060,8398
2024-10-27 00:46:08.294980,25.1,26.7,1.2,6060,8398
2024-10-27 00:46:13.280457,1.0,26.2,1.2,6538,8662
2024-10-27 00:46:18.279813,0.5,26.2,1.2,6580,8704
2024-10-27 00:46:23.279691,0.5,26.2,1.2,6580,8704
2024-10-27 00:46:28.279913,0.0,26.1,1.2,6580,8704
2024-10-27 00:46:33.279602,1.0,26.1,1.2,6580,8704
